nombre,direccion,codigo_postal,municipio,provincia,comunidad_autonoma,pais,pagina_web,acceso_catalogo,tipologia,titularidad,gestion,anio_fundacion,fecha_alta_directorio,integrada_en,url_ficha
Mediateca del Museo de Ciencias Naturales de Barcelona,"Plz. Leonardo da Vinci, 4-5, Parque Fórum",08019,Barcelona,Barcelona,Cataluña,España,https://museuciencies.cat/es/area-cientifica/centro-de-documentacion/presentacion/mediateca/,https://csic-primo.hosted.exlibrisgroup.com/primo-explore/search?vid=34CSIC_VU1&sortby=rank&lang=es_ES&search_scope=CAT_BIB_scope,Bibliotecas especializadas - De museos y conjuntos arqueológicos,Administración Local - Ayuntamientos Otra titularidad: Administración Autonómica - Consejerías y Departamentos,Administración Local - Ayuntamientos | Gestión compartida: Administración Autonómica - Consejerías y Departamentos,2011,05/04/2019,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=13026&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=6
Punto de servicio de la Biblioteca del Departamento de Salud de la Generalitat de Cataluña,"c/ Aragó, 330-332, Edificio Salvany",08009,Barcelona,Barcelona,Cataluña,España,https://bibliotecasalut.gencat.cat/ca/inici/,https://bcsalut.summon.serialssolutions.com/#!/,Bibliotecas especializadas - De la Administración - De otros organismos públicos,Administración Autonómica - Consejerías y Departamentos,Administración Autonómica - Consejerías y Departamentos,,28/08/2025,Biblioteca del Departamento de Salud de la Generalitat de Cataluña,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=13364&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=6
Servicio de Documentación de Educación Ambiental de Barcelona,"Paseo Salvat Papasseit, 1, La Fábrica del Sol",08003,Barcelona,Barcelona,Cataluña,España,https://www.barcelona.cat/barcelonasostenible/ca/barcelona-sostenible/tags/uncategorised/page/servei-de-documentacio-deducacio-ambiental,,Bibliotecas especializadas - De la Administración - De otros organismos públicos,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,21/03/2019,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=13000&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=6
Biblioteca Barceloneta - La Fraternitat,"c/ Felícia Fuster i Viladecans, 8",08003,Barcelona,Barcelona,Cataluña,España,https://ajuntament.barcelona.cat/biblioteques/ca/bibbarceloneta,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,2001,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3236&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
Biblioteca Camp de l'Arpa - Caterina Albert,"c/ Indústria, 295, Antigua fábrica Alchemika",08041,Barcelona,Barcelona,Cataluña,España,https://ajuntament.barcelona.cat/biblioteques/ca/bibcampdelarpa,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3255&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
Biblioteca Canyelles - Maria Àngels Rivas,"Ronda Guineueta Vella, 34",08042,Barcelona,Barcelona,Cataluña,España,https://ajuntament.barcelona.cat/biblioteques/ca/bibcanyelles,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,1994,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3241&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
Biblioteca Clarà,"c/ del Doctor Carulla, 22 - 24",08017,Barcelona,Barcelona,Cataluña,España,https://ajuntament.barcelona.cat/biblioteques/ca/bibclara,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,2000,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3254&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
Biblioteca Collserola - Josep Miracle,"c/ Reis Catòlics, 16 - 34",08017,Barcelona,Barcelona,Cataluña,España,https://ajuntament.barcelona.cat/biblioteques/ca/bibcollserola,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3233&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
Biblioteca del Esbart Catalán de Danza,"Plz. Beates, 2",08003,Barcelona,Barcelona,Cataluña,España,https://www.esbartcatala.org/ca/centre-de-documentacio/informacio-sobre-la-biblioteca,,Bibliotecas especializadas - De asociaciones - Culturales y Deportivas,Privada - Otras instituciones,Privada - Otras instituciones,1926,15/09/2025,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=13373&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
Biblioteca del Museo de Historia de Barcelona,"Bajada de la Llibreteria, 7, Piso 3º",08002,Barcelona,Barcelona,Cataluña,España,https://www.barcelona.cat/museuhistoria/es/recerca-i-debat/biblioteca,,Bibliotecas especializadas - De museos y conjuntos arqueológicos,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,15/09/2025,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=13375&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=7
